model,prompt,story_id,groovist,MCC,mci_tanh_mcc_over_gv,mci_tanh_gv_over_mcc
claude45,large,11678,0.6844381652660775,0.6343790913889182,0.7291270601555664,0.7927946594840811
claude45,large,2722,0.5828023236326126,0.0,0.0,1.0
claude45,large,9334,0.922855962822929,0.664036770267849,0.6166276343553946,0.8831194699939205
claude45,large,3230,0.8919054569992646,0.3807970779778824,0.4027673898681593,0.9816928170445528
claude45,large,5349,0.6317376035152336,0.7128154631118069,0.8104507154275103,0.7095399968416191
claude45,large,12358,0.4402249315067102,0.0,0.0,1.0
claude45,large,13683,0.6791861792884483,0.339866409614354,0.46243357706578964,0.9639137649999276
claude45,large,11541,0.778204665759961,0.0,0.0,1.0
claude45,large,7702,0.7141075308585023,0.4655810361143507,0.5729987482613543,0.9110723842801925
claude45,large,6215,0.8191737227884224,0.6089659488675987,0.6311892371531134,0.8729127278693274
claude45,large,6921,0.5857756804860969,0.5870659909356482,0.7625176914845534,0.7606695423269352
claude45,large,2400,0.6869190167052021,0.6092753247646119,0.7098930305102197,0.8101399519107846
claude45,large,6729,0.715811034586409,0.4894845252863098,0.5939959343326067,0.8981133176383451
claude45,large,3295,0.6580815295136444,0.7615941559557649,0.8201562205190932,0.6983560066731174
claude45,large,7596,0.627188242833167,0.4813659538015675,0.6454724345821258,0.86247664760902
claude45,large,9418,0.6982499348148087,0.6631204738854027,0.7396423407206424,0.782960662700414
claude45,large,723,0.7614926308005431,0.6896155075258059,0.71901861497073,0.8020125244598374
claude45,large,11260,0.5940115402907853,0.5004590690765897,0.6871348126598407,0.8296253365701045
claude45,large,5721,0.7151925421969486,0.0,0.0,1.0
claude45,large,6111,0.6385936634265797,0.4328812409846,0.5901306286268398,0.9005679418893808
claude45,large,7065,0.7916733047344885,0.7019099107709266,0.7097180844265226,0.8102939862161135
claude45,large,2702,0.8201402587350922,0.221345590089283,0.2635201319631708,0.998790989176475
gpt4o,original,13683,0.3687882463907677,0.349185777085763,0.7383519475109022,0.7841811096739955
gpt4o,original,948,0.7300702193994113,0.7054580087163325,0.7470684837760078,0.7758614486818178
gpt4o,original,8085,0.6899000338742769,0.741761064526366,0.7914017572299799,0.7306330111193964
gpt4o,original,11543,0.5934182322856644,0.0,0.0,1.0
gpt4o,original,11719,0.6330311933136599,0.5486330548236485,0.6996814352010522,0.8190200486841968
gpt4o,original,3230,0.713624420132525,0.1903985389889412,0.26064935032749675,0.9988901382982516
gpt4o,original,5349,0.7435424039484121,0.6493218614769001,0.7030375607401604,0.8161263175794542
gpt4o,original,5265,0.6016168821182201,0.2252307855055717,0.3578132078182711,0.9904751623597079
gpt4o,original,6729,0.4814264771384516,0.5064280997398232,0.7825564832355065,0.7400687785036318
gpt4o,original,11260,0.3109288833566121,0.6694712905238412,0.9733911846497583,0.43369556744246057
gpt4o,original,13596,0.66328058264282,0.7615941559557649,0.817164602550106,0.7018365883489038
gpt4o,original,2400,0.4240887138706988,0.7363051152420693,0.9397849876376271,0.5197292340726373
gpt4o,original,8154,0.3589676860752256,0.6826141777354957,0.9563745115860989,0.4822193064845108
